tree_state,joint,run_num
440500000,-106803.6045,1
443000000,-106731.3469,1
445500000,-106873.73,1
448000000,-106791.814,1
450500000,-106851.7815,1
453000000,-106796.2818,1
455500000,-106816.3211,1
458000000,-106762.3034,1
460500000,-106737.7567,1
463000000,-106775.6891,1
465500000,-106767.5231,1
468000000,-106856.7979,1
470500000,-106850.6955,1
473000000,-106805.408,1
475500000,-106830.7049,1
478000000,-106807.5391,1
480500000,-106853.7495,1
483000000,-106814.3748,1
485500000,-106808.6873,1
488000000,-106857.1659,1
490500000,-106752.9886,1
493000000,-106783.3926,1
495500000,-106814.9214,1
498000000,-106799.5704,1
500500000,-106868.3487,1
503000000,-106816.5452,1
505500000,-106805.1509,1
508000000,-106846.5517,1
510500000,-106809.8505,1
513000000,-106791.0893,1
515500000,-106761.4222,1
518000000,-106803.5054,1
520500000,-106826.5505,1
523000000,-106816.4808,1
525500000,-106776.4439,1
528000000,-106876.1246,1
530500000,-106722.5551,1
533000000,-106778.5652,1
535500000,-106799.2586,1
538000000,-106767.8066,1
540500000,-106844.761,1
543000000,-106820.6676,1
545500000,-106766.4274,1
548000000,-106861.7999,1
550500000,-106809.1735,1
553000000,-106807.0177,1
555500000,-106816.603,1
558000000,-106828.7456,1
560500000,-106761.1591,1
563000000,-106801.2119,1
565500000,-106787.9846,1
568000000,-106801.0234,1
570500000,-106780.7313,1
573000000,-106811.7189,1
575500000,-106761.6122,1
578000000,-106752.4052,1
580500000,-106794.8726,1
583000000,-106860.3992,1
585500000,-106785.6418,1
588000000,-106850.6024,1
590500000,-106801.7282,1
593000000,-106775.3815,1
595500000,-106837.7333,1
598000000,-106835.6468,1
600500000,-106818.6541,1
603000000,-106818.1478,1
605500000,-106776.0417,1
608000000,-106876.7297,1
610500000,-106749.6956,1
613000000,-106809.4177,1
615500000,-106778.8747,1
618000000,-106733.6784,1
620500000,-106885.5896,1
623000000,-106783.1456,1
625500000,-106832.2287,1
628000000,-106776.2956,1
630500000,-106820.6648,1
633000000,-106795.7726,1
635500000,-106698.6661,1
638000000,-106780.452,1
640500000,-106804.9758,1
643000000,-106806.5742,1
645500000,-106800.4155,1
648000000,-106871.5619,1
650500000,-106818.5197,1
653000000,-106829.2346,1
655500000,-106868.3395,1
658000000,-106738.7141,1
660500000,-106814.3687,1
663000000,-106804.7872,1
665500000,-106801.194,1
668000000,-106787.8413,1
670500000,-106840.8406,1
673000000,-106803.0966,1
675500000,-106755.3429,1
678000000,-106766.4979,1
680500000,-106770.8218,1
683000000,-106803.1993,1
685500000,-106767.9542,1
688000000,-106761.1184,1
690500000,-106780.5982,1
693000000,-106804.2982,1
695500000,-106792.9972,1
698000000,-106795.0352,1
700500000,-106785.7307,1
703000000,-106724.3994,1
705500000,-106791.4955,1
708000000,-106768.7244,1
710500000,-106848.9676,1
713000000,-106759.5557,1
715500000,-106846.7573,1
718000000,-106803.5452,1
720500000,-106869.6281,1
723000000,-106841.5199,1
725500000,-106812.5885,1
728000000,-106861.5478,1
730500000,-106817.7205,1
733000000,-106880.2732,1
735500000,-106893.3372,1
738000000,-106881.5736,1
740500000,-106787.3854,1
743000000,-106811.1719,1
745500000,-106831.8514,1
748000000,-106892.568,1
750500000,-106790.9338,1
753000000,-106821.3931,1
755500000,-106875.2894,1
758000000,-106839.9967,1
760500000,-106850.3326,1
763000000,-106787.9868,1
765500000,-106858.8095,1
768000000,-106881.1919,1
770500000,-106858.5464,1
773000000,-106841.6197,1
775500000,-106893.8099,1
778000000,-106845.1769,1
780500000,-106831.2112,1
783000000,-106755.1692,1
785500000,-106807.7623,1
788000000,-106848.1275,1
790500000,-106889.3815,1
793000000,-106819.9118,1
795500000,-106774.6912,1
798000000,-106818.1704,1
800500000,-106902.1115,1
803000000,-106841.9988,1
805500000,-106818.8769,1
808000000,-106834.7334,1
810500000,-106809.1548,1
813000000,-106821.626,1
815500000,-106798.2674,1
818000000,-106810.2959,1
820500000,-106785.4721,1
823000000,-106838.6388,1
825500000,-106823.0149,1
828000000,-106831.4676,1
830500000,-106775.7419,1
833000000,-106930.3592,1
